item,ingredients
Almond Croissants,"Wheat Flour, Water, Butter (Cream), Sugar, Almonds, Yeast, Egg Whites, Invert Sugar Syrup, Egg, Salt, Wheat Gluten, Egg Yolks, Ascorbic Acid, Enzyme. Topping: Powdered Sugar. Contains Milk, Egg, Tree Nuts"
Apple Turnovers,"Apple Filling (Water, Sugar, Glucose, Evaporated Apples, Modified Corn Starch, Spice, Citric Acid, Sodium Benzoate and Potassium Sorbate (preservatives), Enriched Flour (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid, Water, Palm Oil, Sugar, Soybean Oil, Salt, Monocalcium Phosphate)"
Blueberry Muffins,"Bleached Wheat Flour, Sugar, Eggs, Soybean Oil, Blueberries, Water, Modified Food Starch, Leavening (Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate), Mono and Diglycerides, Natural Flavor, Buttermilk Solids, Salt, Enzyme, Xanthan Gum. This product is manufactured on equipement expsosed to almond, coconut, pecan, pistachio, soy and walnut products)
Contains Wheat, Egg, Dairy (Milk)"
Blueberry Scones,"Wheat Flour, Water, Blueberries, Margarine, Cane Sugar, Eggs, Palm Oil, Baking Soda, Salt, Butter, Natural Flavor, Xanthan Gum Contains Eggs, Milk, Soy, Wheat 
May contain peanuts and tree nuts."
Chocolate Chip Muffins,"Sugar, Bleached Wheat Flour, Soybean Oil, Eggs, Water, Chocolate Chips (Sugar, Chocolate Liquor, Cocoa Butter, SOY Lecithin (an emulsifier), Vanilla). Modified food starch, leavening (baking soda, Sodium Aluminum Phosphate, Monocalcium Phosphate), Mono and Diglycerides, Buttermilk Solids, , Salt, Lactic Acid, Enzyme, Xanthan Gum.
This product is manufactured on equipment exposed to almond, coconut, pecan, pistachio and walnut products
Contains Wheat, Egg, Dairy (Milk), Soy"
Cutout Cookies,"Flour, Sugar, Eggs, Butter, Vanilla, Baking Powder"
Banana Bread,"Sugar, eggs, butter, baking soda, bananas, sour cream, salt, cream cheese, flour *Contains Dairy"
Pistachio Muffins,"Sugar, Bleached Wheat Flour, Eggs, Soybean Oil, Water, Walnuts, Modified Food Starch, Leavening (Baking soda, Sodium Aluminum Phosphate), Mono and Diglycerides, Natural and Artificial Flavor, Buttermilk Solids, Salt, Lactic Acid, Enzyme, Xanthan Gum, Artificial Color, F.D.&C Yellow #5. This product is manufactured on equipment exposed to almond, coconut, pecan, pistachio, soy and products. Contains Wheat, Egg, Dairy (Milk), Walnuts"
Chocolate Croissant,"Wheat Flour, Water, Palm Oil, Sugar, Yeast, Dark Chocolate
(Sugar, Cocoa Liquor, Cocoa Butter, Soy Lecithin, Hazelnuts,
Butter (cream), Eggs, Coconut Oil, Reduced Cocoa Powder,
Salt, Non Fat Dry Milk, Wheat Gluten, Canola Oil, Mono and
Diglycerides, Soy Lecithin, Citric Acid, Natural Flavor, Natural
Vanilla Flavor, Ascorbic Acid, Enzyme."
Cranberry Orange Nut Muffins,"Bleached Wheat Flour, Sugar, Eggs, Soybean Oil, Cranberries, Water, Modified Food
Starch, Walnuts, Leavening (Baking Soda, Sodium Aluminum Phosphate, Monocalcium
Phosphate), Mono and Diglycerides, Natural Flavor, Buttermilk Solids, Lactic Acid, Salt,
Enzyme, Xanthan Gum, Annatto Color. This product is manufactured on equipement
expsosed to almond, coconut, pecan, pistachio, soy and walnut products)
Contains Wheat, Egg, Dairy (Milk)"
Lemon-Cheese Danish,"Wheat Flour (Wheat Flour, Malted Wheat Flour), Margarine (Palm and Canola
Oil, Water, Mono- and Diglycerides, Salt, Citric Acid, Natural Flavor, Beta
Carotene), Water, Cheese (Buttermilk, Cream, Salt, Lactic Acid Culture), Icing
Sugar, Sugar, Eggs, Sugar Glaze (Water, Isomalt, Sugar, Agar, Potassium
Sorbate [Preservative], Citric Acid), Custard Powder (Sugar, Modified Potato
Starch, Whey Powder, Non Fat Dry Milk, Coconut Oil, Calcium Alginate,
Pentasodium Triphosphate, Tetrasodium Pyrophosphate, Disodium Phosphate,
Glucose Syrup, Natural Vanilla Flavoring, Beta Carotene, [Color], Salt, Milk
Protein), Yeast, Lemon Juice, (Lemon Juice, Potassium Metabisulphite
[Preservative]), Wheat and Potato Starch, Hydrogenated Canola Oil, Pectin,
Lemon Oil (Lemon Oil, Natural Citral, Rosemary Extract), Improver (Ascorbic
Acid, Enzymes). Syrup: Fructose/Glucose Syrup, Natural Flavoring"
Raspberry Scones,"enriched flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin,
folid acid) sugar, palm oil, water, white chocolate chunks (sugar, cocoa, butter, milk, nonfat
milk, butterfat, soy lecithin, natural flavor), raspberries, modified whey, modified corn
starch, raspberry flavored nuggets (dextrose, sugar, wheat flour, soybean oil, cellulose
gum, maltodextrin, fruit and vegetable juice color, natural flavor, citric acid), nonfat miik,
baking soda, wheat protein isolate (wheat gluten), salt, sodium aluminum phosphate,
monocalcium phosphate, distilled monoglycerides, pectin (contians dextrose), citric acid,
xanthan gum, natural flavor
Contains Eggs, Milk, Soy"
Spinach Feta Pastry,"Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin
Mononitrate, Riboflavin, Folic Acid). Spinach and Feta Filling [Bechamel Cream
(Water, Nonfat Dry Milk, Modified Food Starch, Dried Whey (Milk), Salt, Whey
Protein Concentrate, Spinach, Feta Cheese, (Milk, Milk Protein Concentrate,
Salt, Calcium Chloride, Microbial Enzyme, Lactic Acid, Bacterial Culture,
Cellulose), Eggs, Onions, Spices], Butter (cream), Water, Sugar, Yeast, Eggs,
Salt, Wheat Gluten, Food Enzymes (Xylanase, Amylase), Ascorbic Acid, Dried
Eggs, Skim Milk, Soy Flour"
